(-1.636276212468243,-1.74)
(0.16757045549373575,0.33)
(-0.2562842260492429,-0.1)
(1.1631361028388716,1.24)
(-1.5574195275300144,-1.63)
(0.3942834246911429,0.29)
(-0.8279951918514,-0.72)
(-0.08871377055550715,-0.13)
(-0.3548550822220286,-0.42)
(-0.37456925345658576,-0.39)
(0.46328302401209287,0.37)
(-1.705275811789193,-1.79)
(-1.6264191268509645,-1.58)
(0.7589955925304501,0.71)
(-0.24642714043196431,-0.32)
(1.4588486713572286,1.39)
(-1.360277815184443,-1.5)
(1.4095632432708358,1.15)
(-0.2168558835801286,-0.14)
(0.06899959932095001,0.13)
(-1.6559903837028,-1.83)
(0.06899959932095001,0.05)
(-2.5431280892578716,-2.6)
(1.774275411110143,1.9)
(-0.09857085617278573,-0.1)
(0.9758514761105787,0.98)
(1.3997061576535572,1.48)
(-0.2562842260492429,-0.31)
(0.29571256851835714,0.32)
(-1.1631361028388716,-0.98)
(-0.9857085617278573,-1.11)
(0.14785628425917857,0.13)
(0.6111393082712715,0.51)
(-1.222278616542543,-1.35)
(-1.429277414505393,-1.58)
(-0.6209963938885501,-0.61)
(-0.4337117671602572,-0.46)
(-0.36471216783930716,-0.49)
(0.13799919864190002,0.06)
(0.29571256851835714,0.31)
(0.7097101644440572,0.9)
(0.7589955925304501,0.85)
(-1.7249899830237503,-1.54)
(0.6801389075922215,0.61)
(-0.6407105651231072,-0.66)
(-0.6604247363576644,-0.72)
(0.9265660480241857,0.99)
(0.5717109658021572,0.48)
(-0.6111393082712715,-0.73)
(0.6407105651231072,0.5)
(0.4139975959257,0.43)
(-0.3252838253701929,-0.21)
(-0.34499799660475,-0.5)
(-1.636276212468243,-1.77)
(-0.8674235343205144,-0.65)
(-2.316415120060465,-2.29)
(0.6505676507403858,0.74)
(0.4337117671602572,0.44)
(-0.5027113664812072,-0.41)
(0.3548550822220286,0.4)
(-2.1587017501840076,-2.17)
(1.0941365035179216,1.27)
(-0.9857085617278573,-0.94)
(-0.6505676507403858,-0.59)
(-0.009857085617278574,-0.04)
(-1.4095632432708358,-1.57)
(0.8772806199377929,0.7)
(-1.3307065583326074,-1.37)
(-0.7885668493822858,-0.85)
(-0.4139975959257,-0.35)
(-0.29571256851835714,-0.2)
(-0.019714171234557147,-0.14)
(-1.084279417900643,-1.08)
(0.1774275411110143,0.18)
(0.4731401096293715,0.64)
(1.1335648459870358,1.2)
(-1.774275411110143,-1.8)
(0.8969947911723501,0.98)
(-1.5179911850609002,-1.6)
(-0.039428342469114294,0.08)
(-0.16757045549373575,-0.38)
(-0.15771336987645718,-0.3)
(-0.38442633907386436,-0.33)
(-0.1774275411110143,-0.15)
(-1.084279417900643,-1.12)
(0.8772806199377929,0.95)
(0.09857085617278573,0.08)
(0.6209963938885501,0.45)
(-1.0744223322833646,-0.99)
(-1.547562441912736,-1.68)
(-1.9517029522211573,-1.94)
(-0.6801389075922215,-0.55)
(0.14785628425917857,0.18)
(0.019714171234557147,0.17)
(0.36471216783930716,0.44)
(1.498277013826343,1.52)
(-0.9167089624069072,-0.74)
(2.188273007035843,2.08)
(2.365700548146857,2.39)
(1.3109923870980502,1.31)
(-1.8334179248138145,-1.91)
(0.2562842260492429,0.38)
(0.08871377055550715,-0.07)
(-0.08871377055550715,-0.01)
(-1.9911312946902717,-2.0)
(-1.6855616405546359,-1.66)
(-0.5519967945676001,-0.36)
(-0.1774275411110143,-0.3)
(-0.9659943904933,-0.96)
(-0.6801389075922215,-0.52)
(-0.7885668493822858,-0.93)
(0.7984239349995644,0.72)
(-0.8082810206168429,-0.79)
(0.7195672500613358,0.69)
(1.0251369041969716,1.0)
(1.4687057569745072,1.54)
(-0.946280219258743,-1.02)
(-2.2178442638876787,-2.26)
(-0.3942834246911429,-0.35)
(2.119273407714893,2.33)
(0.7984239349995644,0.78)
(0.06899959932095001,0.0)
(-1.0054227329624144,-0.92)
(-1.429277414505393,-1.3)
(-3.2134099112328145,-3.23)
(1.1434219316043144,1.11)
(0.2661413116665215,0.34)
(-0.2858554829010786,-0.23)
(0.6407105651231072,0.45)
(-0.12814211302462145,-0.14)
(0.30556965413563575,0.14)
(-0.12814211302462145,-0.04)
(-1.6855616405546359,-1.68)
(0.7885668493822858,1.05)
(-0.7195672500613358,-0.81)
(-1.1828502740734286,-1.22)
(-0.009857085617278574,-0.05)
(0.7589955925304501,0.76)
(-0.8969947911723501,-1.14)
(1.9911312946902717,2.17)
(1.843275010431093,1.86)
(0.946280219258743,0.82)
(0.3548550822220286,0.34)
(-0.4534259383948144,-0.4)
(-1.6954187261719145,-1.61)
(-0.532282623333043,-0.26)
(0.6308534795058287,0.74)
(-1.567276613147293,-1.59)
(0.08871377055550715,0.11)
(1.064565246666086,0.86)
(-1.3011353014807716,-1.4)
(0.7688526781477287,0.72)
(0.2267129691974072,0.21)
(-1.9517029522211573,-1.96)
(0.5125684520984858,0.49)
(0.9068518767896288,0.75)
(0.9659943904933,0.89)
(-0.6209963938885501,-0.59)
(-1.340563643949886,-1.2)
(-1.3011353014807716,-1.39)
(0.0,0.02)
(-1.153279017221593,-1.26)
(0.37456925345658576,0.32)
(-0.49285428086392863,-0.53)
(-0.7195672500613358,-0.88)
(-0.9068518767896288,-1.1)
(0.09857085617278573,-0.0)
(-2.0699879796285003,-1.98)
(0.670281821974943,0.55)
(-1.2124215309252644,-1.25)
(0.4139975959257,0.39)
(2.2868438632086288,2.27)
(-1.360277815184443,-1.48)
(1.0448510754315288,1.14)
(0.5519967945676001,0.53)
(0.2858554829010786,0.26)
(-1.0448510754315288,-0.96)
(-1.0251369041969716,-0.98)
(-1.1237077603697572,-1.3)
(0.27599839728380005,0.53)
(0.8279951918514,0.84)
(-0.8575664487032358,-1.0)
(-1.2321357021598216,-1.16)
(0.5717109658021572,0.56)
(0.049285428086392864,0.02)
(-1.153279017221593,-1.01)
(0.7787097637650072,0.93)
(0.5914251370367143,0.69)
(1.0349939898142502,1.02)
(0.9659943904933,0.97)
(0.7392814212958929,0.61)
(-0.532282623333043,-0.65)
(0.30556965413563575,0.51)
(-2.0108454659248287,-2.07)
(0.11828502740734287,0.1)
(1.2518498733943788,1.28)
(0.4337117671602572,0.53)
(0.7984239349995644,0.72)
(-1.379991986419,-1.5)
(-1.6067049556164072,-1.65)
(1.5574195275300144,1.59)
(0.009857085617278574,-0.07)
(-1.8728462672829287,-2.12)
(-0.6801389075922215,-0.48)
(-0.9068518767896288,-1.01)
(-0.5519967945676001,-0.4)
(1.0941365035179216,1.06)
(-0.4731401096293715,-0.36)
(-0.7787097637650072,-0.97)
(-0.7491385069131715,-0.68)
(-1.4391345001226716,-1.4)
(1.4687057569745072,1.32)
(1.843275010431093,1.86)
(-0.9857085617278573,-1.05)
(1.0349939898142502,1.09)
(-1.1828502740734286,-1.25)
(-0.6604247363576644,-0.73)
(-0.4337117671602572,-0.49)
(1.3208494727153288,1.13)
(0.06899959932095001,0.11)
(0.8772806199377929,1.04)
(-1.5968478699991289,-1.59)
(0.1084279417900643,-0.02)
(0.13799919864190002,0.14)
(0.2661413116665215,0.15)
(-0.2661413116665215,-0.24)
(-0.6407105651231072,-0.75)
(-0.8969947911723501,-0.85)
(1.2715640446289358,1.47)
(1.1927073596907072,1.19)
(-1.2715640446289358,-1.15)
(1.5869907843818503,1.51)
(-0.38442633907386436,-0.25)
(-1.1631361028388716,-1.3)
(1.0349939898142502,1.04)
(0.08871377055550715,0.17)
(-2.8486977433935077,-2.89)
(0.039428342469114294,0.03)
(0.4337117671602572,0.55)
(-0.2562842260492429,-0.35)
(0.2267129691974072,0.21)
(-1.567276613147293,-1.42)
(1.2419927877771002,1.28)
(-0.15771336987645718,-0.27)
(0.27599839728380005,0.26)
(1.2124215309252644,1.55)
(-0.059142513703671434,-0.05)
(0.3252838253701929,0.37)
(-1.4489915857399502,-1.29)
(0.3252838253701929,0.55)
(-0.8279951918514,-0.76)
(0.9364231336414643,0.95)
